block_time,from,to,total_eth
2022-03-29T21:41:18+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-29T16:11:28+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-03-31T17:43:49+00:00,\x6ae41009c2bfec2601c37a887672959bb77e4aa6,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-03-29T16:57:52+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-04-28T03:10:33+00:00,\xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,\xdd6458eb5090832eb88bffc7adf39b0f3cdd6683,5238.1
2022-09-27T15:38:59+00:00,\x63757fe32201b37d005b97812593fc6d228a5ed0,\x08723392ed15743cc38513c4925f5e6be5c17243,7.77e-05
2022-03-29T17:06:25+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-03-23T14:05:33+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0
2022-03-29T16:23:23+00:00,\x514ab089938c7bf03f83420751b0da148220590d,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-04-18T17:47:41+00:00,\xa985729c2d8a0783199ffe0ff746120847bf9234,\x3cffd56b47b7b41c56258d9c7731abadc360e073,0.00090385519672455
2022-03-29T20:55:24+00:00,\x6f296fa6034b19f7eeaf2af534c17d7acac9a324,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.002120804918497651
2022-03-29T17:00:55+00:00,\xece7a9332e4373a22c8ae7baa781378340626123,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-03-29T21:49:32+00:00,\x5c7f95ffe8ba132dd264ff8997ca379c868833fd,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.001606622077569
2022-03-29T16:14:12+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
2022-05-11T21:57:11+00:00,\x346e95e6b7d5b266b9fff6d2e7dadef84933bfe5,\xf7b31119c2682c88d88d455dbb9d5932c65cf1be,3.69e-05
2022-03-30T09:52:08+00:00,\x33b146a2cf561205ce523472a39e3b78420a37d0,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.005
2022-03-29T17:50:55+00:00,\x5a5444f6b5d511f61ff7c3152054d4030f3891ca,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0003
2022-03-29T16:44:20+00:00,\xd185911970d161ba6972548357ab123e8b674218,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-05
2022-04-28T20:56:04+00:00,\x40225b91d29e27134bd81ab188fe318314ef0568,\xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,3.69e-05
2022-03-31T10:42:40+00:00,\x1cd67758686cd04251c918a0639aa5d4c09f8ad0,\x098b716b8aaf21512996dc57eb0615e2383e2f96,8e-05
2022-03-29T17:34:14+00:00,\xcd063293da3c7e5904ca60ab86e37068c941abb0,\x098b716b8aaf21512996dc57eb0615e2383e2f96,1e-06
2022-04-18T13:14:43+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\x3cffd56b47b7b41c56258d9c7731abadc360e073,10129.935
2022-04-29T13:40:49+00:00,\xa0e1c89ef1a489c9c7de96311ed5ce5d32c20e4b,\x9e1e41985048c07a68a67f632f82799baaf903b1,8506.4
2022-04-06T02:19:48+00:00,\x098b716b8aaf21512996dc57eb0615e2383e2f96,\xdf225c84a0eaeaaac20e6c1d369e94ee13b9df2a,1749.21564
2022-04-19T08:26:23+00:00,\x03cf40b900971561ac6bd997ef1fe939dcbc95e2,\x098b716b8aaf21512996dc57eb0615e2383e2f96,0.0
