total_eth,ym
1e-05,2017-10-30T00:00:00+00:00
0.033,2018-01-29T00:00:00+00:00
0.02,2018-02-05T00:00:00+00:00
0.005,2018-02-12T00:00:00+00:00
38.43755436,2018-02-19T00:00:00+00:00
6.15810035,2018-03-05T00:00:00+00:00
2.84750355,2018-03-12T00:00:00+00:00
0.89850935,2018-03-19T00:00:00+00:00
0.8,2018-03-26T00:00:00+00:00
3.4,2018-04-16T00:00:00+00:00
0.512048,2018-04-23T00:00:00+00:00
0.01,2018-04-30T00:00:00+00:00
0.401802,2018-05-14T00:00:00+00:00
0.5,2018-05-21T00:00:00+00:00
0.1,2018-05-28T00:00:00+00:00
0.00990321,2018-06-04T00:00:00+00:00
1.5102416603029454,2018-06-11T00:00:00+00:00
69.58290457323885,2018-06-18T00:00:00+00:00
18.07739959,2018-06-25T00:00:00+00:00
0.001,2018-07-02T00:00:00+00:00
2.09,2018-07-16T00:00:00+00:00
36.70337654,2018-07-23T00:00:00+00:00
19.87473197,2018-07-30T00:00:00+00:00
24.4210368,2018-08-06T00:00:00+00:00
28.2545195,2018-08-13T00:00:00+00:00
7.591888687657778,2018-08-20T00:00:00+00:00
2.567906,2018-08-27T00:00:00+00:00
0.00406,2018-09-03T00:00:00+00:00
0.503527,2018-09-10T00:00:00+00:00
0.10074,2018-11-12T00:00:00+00:00
1.0,2018-12-31T00:00:00+00:00
0.0001,2019-04-29T00:00:00+00:00
0.000324906943271603,2022-02-14T00:00:00+00:00
