total_eth,ym
0.0,2017-10-30T00:00:00+00:00
0.0,2017-11-06T00:00:00+00:00
38.99510632,2018-03-05T00:00:00+00:00
9.34441929,2018-03-19T00:00:00+00:00
0.798,2018-04-09T00:00:00+00:00
1.0,2018-04-16T00:00:00+00:00
2.7770877243,2018-04-23T00:00:00+00:00
0.05979625,2018-04-30T00:00:00+00:00
0.1292,2018-05-07T00:00:00+00:00
0.32640893,2018-05-14T00:00:00+00:00
0.03760648,2018-05-21T00:00:00+00:00
0.0005,2018-05-28T00:00:00+00:00
0.12002,2018-06-04T00:00:00+00:00
0.00011,2018-06-11T00:00:00+00:00
64.76635971,2018-06-18T00:00:00+00:00
14.091569,2018-06-25T00:00:00+00:00
0.14513,2018-07-02T00:00:00+00:00
10.771141,2018-07-16T00:00:00+00:00
1.483658,2018-07-23T00:00:00+00:00
7.03883409,2018-07-30T00:00:00+00:00
2.24742048,2018-08-06T00:00:00+00:00
18.58711078,2018-08-13T00:00:00+00:00
11.918185193880001,2018-08-20T00:00:00+00:00
3.1633179,2018-08-27T00:00:00+00:00
2.24645083,2018-09-03T00:00:00+00:00
0.505994,2018-09-10T00:00:00+00:00
3.1357300077777777,2018-10-15T00:00:00+00:00
0.100257,2018-11-12T00:00:00+00:00
0.99958,2018-12-31T00:00:00+00:00
3.1660302945355e-05,2019-01-14T00:00:00+00:00
0.002,2019-03-11T00:00:00+00:00
0.11171,2019-03-25T00:00:00+00:00
0.003,2019-04-01T00:00:00+00:00
0.0002,2019-04-15T00:00:00+00:00
0.0003,2019-04-22T00:00:00+00:00
0.00041,2019-04-29T00:00:00+00:00
0.1198,2019-05-20T00:00:00+00:00
0.01811627,2019-05-27T00:00:00+00:00
1.06429682,2019-06-03T00:00:00+00:00
0.14044295,2019-06-10T00:00:00+00:00
0.12481888,2019-06-17T00:00:00+00:00
0.00950485,2019-06-24T00:00:00+00:00
7.84023918,2019-07-22T00:00:00+00:00
0.0001,2019-08-26T00:00:00+00:00
1e-06,2019-09-02T00:00:00+00:00
16.86131168,2020-09-28T00:00:00+00:00
0.0001827918255273,2022-08-22T00:00:00+00:00
